PredictedValue,PredictionConfidence,Order Priority,Customer Segment,Product Category,Product Sub Category,Product Container,Product Name,Profit,Quantity Ordered,Sales,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,City,Order Line ID,# of Order Lines,Order ID,# of Orders,Customer ID,# of Customers,Customer Name,Grouped Sub Category,Discount,Order Date,{Row Count}
Delivered,0.95,Not Specified,Home Office,Office Supplies,Storage & Organization,Large Box,Safco Industrial Wire Shelving,-410.82,2,186.39,101.3,35,Express Air,'2013-01-03',Pretoria,6023,6023,88028,88028,2211,2211,Anita Hahn,Furniture,8.37,'2013-01-01 10:47:08.000',1
Delivered,0.7,Low,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",817.05,8,1243.66,163.64,7.07,Regular Air,'2013-01-09',Nottingham,179,179,87946,87946,67,67,Ellen McCormick,Furniture,64.46,'2013-01-01 04:34:06.000',1
Delivered,0.99,Critical,Consumer,Office Supplies,Paper,Wrap Bag,White GlueTop Scratch Pads,104.84,11,160.6,15.87,1.97,Regular Air,'2013-01-02',San Pedro,3049,3049,90853,90853,1155,1155,Alex Nicholson,Stationery,7.81,'2013-01-01 04:08:56.000',1
Delivered,1,Critical,Consumer,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",19.61,4,35.02,9.62,2.15,Express Air,'2013-01-04',CÃ_rdoba,3048,3048,90853,90853,1155,1155,Alex Nicholson,Stationery,1.86,'2013-01-01 10:55:31.000',1
Delivered,0.97,Low,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",555.92,32,4974.66,163.64,7.07,Regular Air,'2013-01-09',Sheffield,186,186,37537,37537,68,68,Scott Bunn,Furniture,280.82,'2013-01-01 17:17:42.000',1
Delivered,0.97,Critical,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-18.45,3,121.94,43.24,2.99,Regular Air,'2013-01-04',Dortmund,2463,2463,9285,9285,949,949,Ernest Oh,Stationery,7.37,'2013-01-01 01:46:47.000',1
Delivered,1,Low,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagodaâ„¢ Armless Upholstered Stacking Chairs,-298.48,4,1231.48,307.87,48.8,Delivery Truck,'2013-01-02',Nottingham,184,184,37537,37537,68,68,Scott Bunn,Furniture,41.68,'2013-01-01 00:37:14.000',1
Delivered,0.96,Critical,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-14.3,1,40.65,43.24,2.99,Regular Air,'2013-01-04',Yaroslavl,2474,2474,89083,89083,950,950,Jane Shah,Stationery,2.02,'2013-01-01 03:14:05.000',1
Delivered,1,Low,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutaskâ„¢ Swivel Chairs,-1622.92,43,4261.73,106.57,45,Delivery Truck,'2013-01-04',Manchester,185,185,37537,37537,68,68,Scott Bunn,Furniture,279.1,'2013-01-01 13:30:41.000',1
Refunded,0.75,Low,Corporate,Technology,Computer Peripherals,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",89.27,3,125.88,45.61,16.71,Regular Air,'2013-01-05',Manchester,443,443,87463,87463,169,169,Janice Cole,Computer & Electronics,8.48,'2013-01-02 00:53:52.000',1
